p+0.04_10.9548_0 dE= 0.01202
actual force   predicted force   difference
2387950793782.82666
4524387674170.65918
3026215666747.98096
3007590405719.04346
5431774554494.89746
3322176336989.70410
3304962204297.57324
5732603808976.76562
3404112427362.28711
3355756245019.56104
5768827051237.87012
3278741488991.24756
3210921283348.94873
5679227767062.76367
2877811909544.94287
2832410922492.53467
5212250138075.95996
2150066376476.92603
2154117583115.90674
4056055451112.62402
1192542955737.08496
1214282514401.00635
2244374713774.81445
1573102475505.22510
1466426454679.29614
2899516965710.83154
1867906275432.68677
1865969173710.47900
3326529676352.39111
2621249369883.30029
2538711094607.90234
4470032159627.46777
3110290511721.76904
3270854389611.25781
5295819693985.76367
3436668742560.05176
3676378330839.97510
5603079424517.12695
3570960636416.03027
3808092833741.93994
5638227950829.65918
3523417180103.05225
3714816366816.93262
5627000007773.14258
3251706779348.61719
3409787996384.09717
5435984508653.11133
2702574693852.97119
2864500884968.57959
4788073297286.00781
1981753212950.86938
2088931085948.11890
3718044574418.17334
2448811387449.38574
2387950793782.82764
4524387674170.66016
2621249369883.29932
2538711094607.90137
4470032159627.46680
2996143106623.56396
3021162747106.32324
4969497639020.46191
3453254358287.81250
3535616652320.78613
5436463292495.93945
3734540102310.29199
4054324439420.30713
5536442209474.23633
3878328386456.80615
4366131466908.13281
5411947167534.90625
3887232304305.38574
4327939482610.03125
5399318979476.43555
3703501823742.76074
4007684589032.57324
5463424588895.81348
3284685444258.53809
3492325073125.38574
5340746116483.24805
2744578535482.45215
2833446669738.34082
4964873007541.08398
3026215666747.98047
3007590405719.04443
5431774554494.89648
3110290511721.76904
3270854389611.25781
5295819693985.76367
3453254358287.81396
3535616652320.78711
5436463292495.93945
3755755588901.11523
3791191394636.55859
5670529914477.23438
4009855612019.85840
4114170645275.45752
5657877805496.13965
4117641035385.00586
4540606979628.41211
5386532167496.59375
4119470008407.61865
4854803154521.22559
5071744583430.80957
3969688555178.36377
4465476083657.54004
5317362223060.90820
3634801465860.71631
3895126897442.38428
5529431399944.11328
3208790594725.92334
3317907326405.12793
5568551651461.30078
3322176336989.70410
3304962204297.57422
5732603808976.76758
3436668742560.05078
3676378330839.97412
5603079424517.12695
3734540102310.29199
4054324439420.30518
5536442209474.23633
4009855612019.85840
4114170645275.46143
5657877805496.14258
4142597411438.34814
4179771252713.13330
5706004090068.37891
4234255887398.55078
4349285523535.28418
5569056066621.19531
4197117535974.10547
4651481983454.59180
5307537356426.36621
4035251759723.65918
4638634674001.62402
5245363932936.14746
3742587877638.73096
4092658071372.31934
5520884824823.76270
3414178851479.44434
3530077556954.05518
5716506368867.26855
3404112427362.28711
3355756245019.56201
5768827051237.86719
3570960636416.02979
3808092833741.93994
5638227950829.65918
3878328386456.80566
4366131466908.13135
5411947167534.90625
4117641035385.00586
4540606979628.41016
5386532167496.59277
