-1.37399 1.37773 -1.24813 Ru
0.37369 1.12525 0.24974 Ru
0.25055 1.74815 0.49877 Ru
-0.00037 0.49997 0.00187 Ru
0.37673 1.62538 0.75012 Ru
0.12593 1.37626 0.25027 Ru
0.00186 1.00157 0.00084 Ru
-1.62501 1.12425 -1.25017 Ru
-0.24951 2.25129 0.99903 Ir
-0.12571 2.12327 0.24804 Ir
-1.37716 1.87290 0.24625 Ir
-0.25090 2.75032 0.49909 Ir
-0.12488 2.62603 0.75196 Ir
-0.37735 2.37480 0.24814 Ir
-0.25224 2.25030 0.50098 Ir
-0.37764 2.87281 0.74906 Ir
-0.74955 2.25138 0.00213 Ir
-0.50042 2.00057 0.49990 Ir
-0.87470 2.87288 0.24891 Ir
-0.74730 2.25159 0.50105 Ir
-0.87323 0.87491 -1.24815 Ir
-0.99793 2.50114 0.50046 Ir
-0.87197 0.37768 -1.24626 Ir
-0.99937 0.99819 -1.50073 Ir
-0.25166 2.74756 0.99817 Ru
-1.12499 1.62384 0.24723 Ru
-0.50062 2.49967 0.99924 Ru
-0.50061 0.99880 -1.00205 Ru
-0.12435 2.12675 0.75300 Ru
-0.74919 2.74996 0.00112 Ru
-0.62564 2.62498 0.25001 Ru
-0.50249 2.49982 0.50010 Ru
-0.37399 2.37773 0.75187 Ru
-0.62631 2.12525 0.24974 Ru
-0.74945 2.74815 0.49877 Ru
-1.00037 1.49997 0.00187 Ru
-0.62327 2.62538 0.75012 Ru
-0.87407 2.37626 0.25027 Ru
-0.99814 2.00157 0.00084 Ru
-0.62501 2.12425 0.74983 Ru
-1.24951 1.25129 -0.00097 Ir
-1.12571 1.12327 -0.75196 Ir
0.62284 1.87290 1.24625 Ir
-1.25090 1.75032 -0.50091 Ir
-1.12488 1.62603 -0.24804 Ir
-1.37735 1.37481 -0.75186 Ir
-1.25224 1.25030 -0.49902 Ir
-1.37764 1.87281 -0.25094 Ir
-1.74955 1.25138 -0.99787 Ir
-0.50042 2.00057 -0.50010 Ir
0.12530 1.87288 1.24891 Ir
-1.74730 1.25159 -0.49894 Ir
-1.87323 1.87491 -0.24815 Ir
-1.99793 1.50114 -0.49954 Ir
-0.87197 2.37769 -0.24626 Ir
0.00063 1.99819 1.49927 Ir
-1.25166 1.74756 -0.00183 Ru
-1.12499 1.62384 -0.75277 Ru
-0.50062 2.49967 -0.00076 Ru
-1.50061 1.99880 -0.00205 Ru
-1.12435 1.12675 -0.24700 Ru
0.25081 1.74996 1.00112 Ru
-1.62564 1.62498 -0.74999 Ru
-1.50249 1.49982 -0.49990 Ru
-1.37399 1.37773 -0.24813 Ru
-1.62631 1.12525 -0.75026 Ru
-1.74945 1.74815 -0.50123 Ru
-1.00037 1.49997 -0.99813 Ru
-1.62327 1.62538 -0.24988 Ru
-1.87407 1.37626 -0.74973 Ru
-1.99814 1.00157 -0.99916 Ru
-0.62501 2.12425 -0.25017 Ru
-1.24951 2.25129 -0.00097 Ir
