p+0.04_10.912_0 dE= 0.01142
p+0.04_10.912_1 dE= 0.01021
actual force   predicted force   difference
0.02688 0.03044 -0.00356
0.00000 0.00000 0.00000
0.03458 0.03991 -0.00533
0.02688 0.03044 -0.00356
0.03458 0.03991 -0.00533
-0.00000 0.00000 -0.00000
-0.51048 -0.51087 0.00039
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.01186 0.01087 0.00099
0.00489 0.00455 0.00034
-0.00489 -0.00455 -0.00034
0.00350 0.00287 0.00063
0.00467 0.00466 0.00001
0.00037 0.00014 0.00023
0.03472 0.03044 0.00427
0.04528 0.03991 0.00537
-0.00000 0.00000 -0.00000
0.02850 0.02810 0.00039
0.02760 0.02760 -0.00000
-0.00000 0.00000 -0.00000
0.01186 0.01087 0.00099
-0.00489 -0.00455 -0.00034
0.00489 0.00455 0.00034
0.03472 0.03044 0.00427
0.00000 0.00000 0.00000
0.04528 0.03991 0.00537
0.00350 0.00287 0.00063
0.00037 0.00014 0.00023
0.00467 0.00466 0.00001
0.02850 0.02810 0.00039
0.00000 0.00000 0.00000
0.02760 0.02760 -0.00000
0.00132 0.00085 0.00047
-0.00139 0.00000 -0.00139
-0.00139 0.00000 -0.00139
0.00305 0.00287 0.00018
-0.00469 -0.00466 -0.00003
-0.00009 0.00014 -0.00023
0.00305 0.00287 0.00018
-0.00009 0.00014 -0.00023
-0.00469 -0.00466 -0.00003
0.00027 -0.00012 0.00039
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.01186 0.01087 0.00099
0.00489 0.00455 0.00034
0.00489 0.00455 0.00034
0.00350 0.00287 0.00063
0.00467 0.00466 0.00001
-0.00037 -0.00014 -0.00023
0.00350 0.00287 0.00063
-0.00037 -0.00014 -0.00023
0.00467 0.00466 0.00001
-0.00012 0.00000 -0.00012
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
-0.00279 0.00000 -0.00279
0.00005 0.00000 0.00005
0.00005 0.00000 0.00005
0.00305 0.00287 0.00018
0.00469 0.00466 0.00003
-0.00009 0.00014 -0.00023
0.00305 0.00287 0.00018
-0.00009 0.00014 -0.00023
0.00469 0.00466 0.00003
0.00027 -0.00012 0.00039
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.01065 0.01087 -0.00022
0.00420 0.00455 -0.00035
-0.00420 -0.00455 0.00035
-0.00131 0.00000 -0.00131
0.00000 0.00000 0.00000
0.00136 0.00000 0.00136
0.00350 0.00287 0.00063
0.00037 0.00014 0.00023
-0.00467 -0.00466 -0.00001
0.02850 0.02810 0.00039
0.00000 0.00000 0.00000
-0.02760 -0.02760 0.00000
0.00132 0.00085 0.00047
0.00139 0.00000 0.00139
-0.00139 0.00000 -0.00139
0.02688 0.03044 -0.00356
0.00000 0.00000 0.00000
-0.03458 -0.03991 0.00533
0.00305 0.00287 0.00018
0.00009 -0.00014 0.00023
-0.00469 -0.00466 -0.00003
-0.01235 -0.01274 0.00039
0.00000 0.00000 0.00000
0.00014 0.00000 0.00014
0.01065 0.01087 -0.00022
-0.00420 -0.00455 0.00035
0.00420 0.00455 -0.00035
0.00350 0.00287 0.00063
-0.00467 -0.00466 -0.00001
0.00037 0.00014 0.00023
-0.00131 0.00000 -0.00131
0.00136 0.00000 0.00136
-0.00000 0.00000 -0.00000
0.02850 0.02810 0.00039
-0.02760 -0.02760 0.00000
-0.00000 0.00000 -0.00000
0.00132 0.00085 0.00047
-0.00139 0.00000 -0.00139
0.00139 0.00000 0.00139
0.00305 0.00287 0.00018
-0.00469 -0.00466 -0.00003
0.00009 -0.00014 0.00023
0.02688 0.03044 -0.00356
-0.03458 -0.03991 0.00533
-0.00000 0.00000 -0.00000
-0.01235 -0.01274 0.00039
0.00014 0.00000 0.00014
-0.00000 0.00000 -0.00000
0.01186 0.01087 0.00099
-0.00489 -0.00455 -0.00034
-0.00489 -0.00455 -0.00034
0.03472 0.03044 0.00427
0.00000 0.00000 0.00000
-0.04528 -0.03991 -0.00537
0.03472 0.03044 0.00427
-0.04528 -0.03991 -0.00537
-0.00000 0.00000 -0.00000
0.03684 0.03490 0.00193
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
-0.00279 0.00000 -0.00279
-0.00005 0.00000 -0.00005
-0.00005 0.00000 -0.00005
-0.00181 0.00000 -0.00181
0.00000 0.00000 0.00000
0.00134 0.00000 0.00134
-0.00181 0.00000 -0.00181
0.00134 0.00000 0.00134
-0.00000 0.00000 -0.00000
0.00446 0.00000 0.00446
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.01065 0.01087 -0.00022
0.00420 0.00455 -0.00035
0.00420 0.00455 -0.00035
-0.00131 0.00000 -0.00131
0.00000 0.00000 0.00000
-0.00136 0.00000 -0.00136
-0.00131 0.00000 -0.00131
-0.00136 0.00000 -0.00136
-0.00000 0.00000 -0.00000
0.03376 0.03490 -0.00114
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
-0.00279 0.00000 -0.00279
0.00005 0.00000 0.00005
-0.00005 0.00000 -0.00005
0.00305 0.00287 0.00018
0.00469 0.00466 0.00003
0.00009 -0.00014 0.00023
-0.00181 0.00000 -0.00181
-0.00134 0.00000 -0.00134
-0.00000 0.00000 -0.00000
-0.01235 -0.01274 0.00039
-0.00014 0.00000 -0.00014
-0.00000 0.00000 -0.00000
-0.00279 0.00000 -0.00279
-0.00005 0.00000 -0.00005
0.00005 0.00000 0.00005
-0.00181 0.00000 -0.00181
0.00000 0.00000 0.00000
-0.00134 0.00000 -0.00134
0.00305 0.00287 0.00018
0.00009 -0.00014 0.00023
0.00469 0.00466 0.00003
-0.01235 -0.01274 0.00039
0.00000 0.00000 0.00000
-0.00014 0.00000 -0.00014
0.01065 0.01087 -0.00022
-0.00420 -0.00455 0.00035
-0.00420 -0.00455 0.00035
0.00350 0.00287 0.00063
-0.00467 -0.00466 -0.00001
-0.00037 -0.00014 -0.00023
0.00350 0.00287 0.00063
-0.00037 -0.00014 -0.00023
-0.00467 -0.00466 -0.00001
-0.00012 0.00000 -0.00012
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
end
Phonon frequencies:
4062167268979.58691
4062167268979.58887
4671833343405.45996
4671833343405.45801
5329851620565.25000
5329851620565.24902
1037143472124.77051
1037143472124.75854
3985255751708.36621
4745072378719.36816
5409638451928.76855
1904883245752.44482
4652722282930.99121
4647790871197.45312
4934837947956.71289
4266666298017.66748
4062633161140.87988
3974087021285.72607
5324084071765.81836
5378859654745.29004
3334437636981.34131
1958553437312.30859
1935476231227.96924
5872167022576.19043
4499555617758.77637
4486749634829.44336
4627484119575.09473
4648318525369.70117
3954528911342.83398
3860513806384.11133
5316628428775.06348
5121190519464.95898
5419248560197.79102
2880062258976.40234
2806034916801.20117
6449802715064.46875
4616789079599.50977
4598961503586.38281
4637889613820.28906
5059338733904.81836
5059887689153.17676
5313729319987.76953
5450927397821.31152
3700946727091.30225
3606852672486.27246
3431116230298.64746
3334817832033.02441
6698049140831.11426
4486749634829.44141
4499555617758.77734
4648318525369.70020
4627484119575.09375
3954528911342.83350
3860513806384.11133
5121190519464.95898
5316628428775.06152
5419248560197.79199
2806034916801.20166
2880062258976.40332
6449802715064.46973
4652722282930.99121
4647790871197.45312
4062633161140.88184
3974087021285.72559
4266666298017.66699
4934837947956.71191
3334437636981.34180
5324084071765.81738
5378859654745.28906
1935476231227.96924
1958553437312.31201
5872167022576.18848
4062167268979.58838
4062167268979.58838
4671833343405.46191
4671833343405.45996
5329851620565.25098
5329851620565.25098
1037143472124.76392
1037143472124.75830
3985255751708.36475
4745072378719.36914
5409638451928.76953
1904883245752.43994
4647790871197.45215
4652722282930.99023
4266666298017.66846
4062633161140.87939
3974087021285.72705
4934837947956.71289
3334437636981.34277
5324084071765.81836
5378859654745.29102
1958553437312.30908
1935476231227.97217
5872167022576.18652
4610822594145.28320
4606616043199.73340
4331298575492.65332
4136842268807.02783
4009943426554.07812
3946720977268.33301
5031267324616.75977
5362855683646.50879
5648657105569.37988
2447046676416.92578
2362178775869.91943
5932442850983.29883
4563015365233.72363
4498955470474.88281
4363979351558.41113
4716308354717.75879
4077269571535.39551
3864732294926.38379
5138028482175.30566
5387613576675.95996
3122224245109.78223
2986790017158.57471
5719349341913.87305
6303107142027.55469
4477068591524.37402
4420741910362.89941
4540121148460.51172
3654446101695.39551
3618121450347.87012
3831909337430.58154
3407815418474.76465
4970646939349.51367
5136718105447.16406
5393268639499.35742
5748575482960.84766
6492253055609.09668
4498955470474.88281
4563015365233.72363
4363979351558.41309
4716308354717.75879
4077269571535.39502
3864732294926.38330
5138028482175.30566
5387613576675.96094
3122224245109.78369
2986790017158.57617
5719349341913.87305
6303107142027.55469
4610822594145.28125
4606616043199.73340
4136842268807.02637
4331298575492.65283
4009943426554.07666
3946720977268.33301
5031267324616.75977
5362855683646.50879
5648657105569.38184
2362178775869.91846
2447046676416.93066
