p-0.04_10.989_0 dE= 0.01070
p+0.04_10.989_0 dE= 0.01084
p-0.04_10.989_1 dE= 0.01127
p+0.04_10.989_1 dE= 0.01124
p_uns_0.2_1000_2887 dE= 0.80617
p_uns_0.2_1000_3535 dE= 3.40470
p_uns_0.2_1000_998 dE= 0.74183
actual force   predicted force   difference
-0.00020 0.00000 -0.00020
-0.00073 0.00000 -0.00073
-0.00186 0.00000 -0.00186
-0.00015 0.00000 -0.00015
-0.00115 0.00000 -0.00115
-0.00067 0.00000 -0.00067
0.00031 0.00000 0.00031
-0.00085 0.00000 -0.00085
0.00171 0.00145 0.00026
0.00094 -0.00399 0.00492
0.00031 0.00502 -0.00471
0.00566 0.00686 -0.00120
-0.04068 -0.04103 0.00035
-0.05368 -0.05240 -0.00128
0.00297 -0.00498 0.00794
0.00354 0.00004 0.00350
-0.00124 -0.00440 0.00316
-0.01044 -0.00771 -0.00273
0.01492 0.02440 -0.00948
-0.02100 -0.02619 0.00519
0.00086 -0.00127 0.00213
-0.00816 -0.00497 -0.00319
0.00310 0.00047 0.00263
-0.04839 -0.05680 0.00841
-0.02482 -0.02462 -0.00020
0.06671 0.08986 -0.02315
0.00188 0.00000 0.00188
0.00182 0.00000 0.00182
-0.00201 0.00000 -0.00201
-0.00002 -0.00785 0.00782
-0.00029 -0.01519 0.01490
0.00046 0.00623 -0.00577
-0.00166 0.00000 -0.00166
-0.00013 0.00000 -0.00013
0.00166 0.00000 0.00166
0.00194 0.00141 0.00053
-0.01169 -0.01258 0.00089
0.01130 0.01257 -0.00127
0.00313 0.00000 0.00313
0.00313 0.00000 0.00313
0.00083 0.00000 0.00083
-0.00680 -0.00251 -0.00430
-0.00661 -0.00985 0.00324
0.00689 -0.00413 0.01102
0.00788 0.00858 -0.00070
-0.00173 0.00212 -0.00385
-0.00172 -0.00302 0.00129
0.00068 0.00232 -0.00164
-0.00419 -0.00427 0.00008
-0.00439 -0.00648 0.00209
-0.00130 0.00000 -0.00130
-0.00313 0.00000 -0.00313
0.00255 0.00000 0.00255
-0.00166 0.00000 -0.00166
0.00230 0.00000 0.00230
-0.00133 0.00000 -0.00133
0.00112 0.00000 0.00112
-0.00097 0.00000 -0.00097
-0.00185 0.00000 -0.00185
0.00369 0.00000 0.00369
0.00768 0.00000 0.00768
-0.00107 0.00000 -0.00107
-0.00362 -0.00479 0.00117
-0.00320 -0.00281 -0.00039
0.00109 0.00006 0.00103
-0.00324 -0.00227 -0.00097
-0.00815 -0.00886 0.00071
-0.00671 -0.01472 0.00801
-0.00564 0.00049 -0.00614
0.00549 0.01352 -0.00803
0.00121 0.00028 0.00094
-0.00280 -0.00235 -0.00045
0.00519 0.00316 0.00203
0.00441 0.00884 -0.00443
0.00364 0.00000 0.00364
0.00132 0.00000 0.00132
0.00180 0.00000 0.00180
0.00599 0.00000 0.00599
0.00018 0.00000 0.00018
0.00049 0.00000 0.00049
-0.00111 -0.00504 0.00393
0.00073 -0.00050 0.00122
-0.00019 0.00069 -0.00088
-0.01535 -0.01437 -0.00098
-0.00753 -0.00886 0.00133
-0.01553 -0.00859 -0.00694
0.00122 0.00000 0.00122
-0.00084 0.00000 -0.00084
-0.00265 0.00000 -0.00265
-0.00835 -0.00592 -0.00243
-0.00151 -0.00196 0.00045
0.00433 -0.00108 0.00541
-0.00113 0.00000 -0.00113
-0.00333 0.00000 -0.00333
0.00269 0.00000 0.00269
-0.00549 -0.00277 -0.00272
0.00161 0.00119 0.00042
-0.00441 -0.00854 0.00413
-0.00182 0.00000 -0.00182
-0.00008 0.00000 -0.00008
0.00223 0.00000 0.00223
-0.00079 0.00000 -0.00079
-0.00022 0.00000 -0.00022
-0.00004 0.00000 -0.00004
-0.38519 -0.40624 0.02105
-0.38108 -0.41532 0.03424
0.00116 -0.00142 0.00258
-0.00564 0.00231 -0.00795
0.03981 0.04197 -0.00216
-0.05079 -0.04657 -0.00422
-0.02719 -0.01923 -0.00796
0.02782 0.02821 -0.00039
0.00033 -0.00526 0.00559
0.00743 0.00833 -0.00090
-0.01302 -0.01185 -0.00116
-0.01759 -0.01489 -0.00270
0.06439 0.04662 0.01777
0.08207 0.06215 0.01992
0.00122 0.00008 0.00115
0.04866 0.04234 0.00632
0.02647 0.02220 0.00426
0.07283 0.06026 0.01257
0.00177 -0.01242 0.01418
0.00194 -0.00554 0.00748
0.00032 -0.00370 0.00403
-0.00053 0.00428 -0.00481
0.00058 0.00839 -0.00781
-0.00040 0.00191 -0.00231
-0.00055 0.01019 -0.01074
0.00988 0.01087 -0.00099
0.00049 0.00262 -0.00214
-0.00227 0.01242 -0.01469
0.01261 -0.00364 0.01625
0.00993 0.01187 -0.00193
0.00392 0.03498 -0.03106
0.00397 0.04186 -0.03788
0.00037 0.00565 -0.00528
0.00658 -0.00194 0.00853
0.00818 0.00218 0.00600
0.00601 0.00963 -0.00363
-0.00689 -0.00328 -0.00361
0.00887 0.01226 -0.00339
0.00028 0.00176 -0.00148
-0.00198 -0.01087 0.00890
0.00453 -0.00126 0.00580
-0.00222 0.00219 -0.00441
0.00235 0.00202 0.00034
-0.00410 0.01465 -0.01875
0.00121 -0.00576 0.00697
0.00097 0.00000 0.00097
-0.00136 0.00000 -0.00136
-0.00191 0.00000 -0.00191
0.01250 0.00668 0.00583
0.00598 0.00224 0.00374
0.00033 0.00264 -0.00231
-0.00470 0.00000 -0.00470
-0.00717 0.00000 -0.00717
0.00088 0.00000 0.00088
0.02886 0.03067 -0.00180
0.08165 0.07810 0.00355
0.00112 -0.00054 0.00166
0.00227 -0.00576 0.00803
0.00879 0.00384 0.00495
-0.00754 -0.00740 -0.00014
0.06394 0.05841 0.00554
0.00667 0.00545 0.00122
0.00050 0.00258 -0.00208
0.00195 -0.00386 0.00581
-0.00405 -0.00646 0.00241
0.00257 0.00063 0.00195
0.00462 -0.00081 0.00543
0.00146 -0.00816 0.00962
0.00037 0.00963 -0.00926
-0.00650 0.00000 -0.00650
0.00062 0.00000 0.00062
-0.00038 0.00000 -0.00038
0.07483 0.07218 0.00265
-0.01572 -0.00831 -0.00741
0.00058 -0.00731 0.00789
0.01418 0.01553 -0.00136
0.00783 0.01292 -0.00509
-0.01645 -0.01320 -0.00326
0.01246 -0.00186 0.01431
0.00632 0.01078 -0.00446
0.00036 0.00139 -0.00103
0.00795 0.00808 -0.00012
0.00217 0.00724 -0.00507
0.00654 0.00313 0.00340
0.00226 0.01055 -0.00829
-0.00432 0.00611 -0.01043
0.00116 -0.00532 0.00648
0.00509 -0.01256 0.01765
-0.00051 -0.01339 0.01288
-0.00512 -0.00247 -0.00265
-0.00111 0.01020 -0.01131
0.00982 0.01087 -0.00106
0.00044 -0.00274 0.00319
0.00022 0.00000 0.00022
0.00094 0.00000 0.00094
-0.00122 0.00000 -0.00122
