p+0.04_10.8241_0 dE= 0.01041
p+0.04_10.8241_1 dE= 0.00879
actual force   predicted force   difference
-0.24094 -0.24103 0.00010
0.00004 -0.00155 0.00159
-0.00801 -0.00717 -0.00084
0.00171 0.00141 0.00029
0.00004 -0.00155 0.00159
0.00171 0.00141 0.00029
-0.00801 -0.00717 -0.00084
0.00325 0.00345 -0.00021
0.00276 0.00300 -0.00024
-0.00152 -0.00167 0.00015
0.05441 0.05407 0.00034
0.05407 0.05402 0.00005
0.00224 0.00212 0.00012
-0.00285 0.00000 -0.00285
-0.00280 0.00000 -0.00280
0.00077 0.00000 0.00077
0.00313 0.00231 0.00082
0.00982 0.00886 0.00096
0.00240 0.00184 0.00057
0.00325 0.00345 -0.00021
-0.00152 -0.00167 0.00015
0.00276 0.00300 -0.00024
0.05441 0.05407 0.00034
0.00224 0.00212 0.00012
0.05407 0.05402 0.00005
0.00313 0.00231 0.00082
0.00240 0.00184 0.00057
0.00982 0.00886 0.00096
-0.00285 0.00000 -0.00285
0.00077 0.00000 0.00077
-0.00280 0.00000 -0.00280
0.00013 -0.00089 0.00102
0.02962 0.03410 -0.00448
0.02962 0.03410 -0.00448
0.00219 0.00190 0.00029
0.03774 0.03764 0.00010
0.03774 0.03764 0.00010
0.00197 0.00231 -0.00034
0.00167 0.00184 -0.00017
0.00810 0.00886 -0.00076
0.00197 0.00231 -0.00034
0.00810 0.00886 -0.00076
0.00167 0.00184 -0.00017
0.00056 0.00053 0.00003
-0.00266 -0.00283 0.00017
-0.00266 -0.00283 0.00017
-0.00032 0.00000 -0.00032
-0.00129 0.00000 -0.00129
-0.00129 0.00000 -0.00129
-0.00001 -0.00039 0.00038
0.00413 0.00416 -0.00003
0.00244 0.00230 0.00014
-0.00001 -0.00039 0.00038
0.00244 0.00230 0.00014
0.00413 0.00416 -0.00003
0.00021 0.00000 0.00021
0.00054 0.00000 0.00054
0.00054 0.00000 0.00054
0.00217 0.00190 0.00027
-0.00080 -0.00089 0.00010
-0.00080 -0.00089 0.00010
-0.00166 -0.00183 0.00018
-0.00253 -0.00280 0.00027
-0.00193 -0.00184 -0.00009
-0.00166 -0.00183 0.00018
-0.00193 -0.00184 -0.00009
-0.00253 -0.00280 0.00027
0.00393 0.00345 0.00048
0.00357 0.00300 0.00057
-0.00165 -0.00167 0.00002
0.01033 0.01011 0.00022
0.00220 0.00212 0.00007
-0.00795 -0.00809 0.00014
-0.00155 -0.00183 0.00028
-0.00281 -0.00280 -0.00001
-0.00147 -0.00184 0.00037
-0.00272 -0.00155 -0.00116
0.00138 0.00141 -0.00003
-0.00594 -0.00717 0.00123
0.00013 0.00000 0.00013
-0.00184 0.00000 -0.00184
-0.00177 0.00000 -0.00177
0.00194 0.00168 0.00027
-0.00103 -0.00113 0.00010
0.01562 0.01502 0.00061
-0.00029 -0.00039 0.00010
0.00456 0.00416 0.00041
0.00236 0.00230 0.00005
-0.00009 0.00000 -0.00009
0.00095 0.00000 0.00095
0.00115 0.00000 0.00115
0.00393 0.00345 0.00048
-0.00165 -0.00167 0.00002
0.00357 0.00300 0.00057
0.01033 0.01011 0.00022
-0.00795 -0.00809 0.00014
0.00220 0.00212 0.00007
-0.00272 -0.00155 -0.00116
-0.00594 -0.00717 0.00123
0.00138 0.00141 -0.00003
-0.00155 -0.00183 0.00028
-0.00147 -0.00184 0.00037
-0.00281 -0.00280 -0.00001
0.00013 0.00000 0.00013
-0.00177 0.00000 -0.00177
-0.00184 0.00000 -0.00184
0.00194 0.00168 0.00027
0.01562 0.01502 0.00061
-0.00103 -0.00113 0.00010
-0.00009 0.00000 -0.00009
0.00115 0.00000 0.00115
0.00095 0.00000 0.00095
-0.00029 -0.00039 0.00010
0.00236 0.00230 0.00005
0.00456 0.00416 0.00041
0.00766 0.00638 0.00129
0.00251 0.00184 0.00067
0.00251 0.00184 0.00067
0.02116 0.01976 0.00140
0.00147 0.00132 0.00015
0.00147 0.00132 0.00015
0.02294 0.01728 0.00566
0.02416 0.01830 0.00586
0.00121 0.00141 -0.00021
0.02294 0.01728 0.00566
0.00121 0.00141 -0.00021
0.02416 0.01830 0.00586
0.00012 0.00000 0.00012
0.00038 0.00000 0.00038
0.00038 0.00000 0.00038
0.00084 0.00000 0.00084
-0.00077 0.00000 -0.00077
-0.00077 0.00000 -0.00077
-0.00311 0.00000 -0.00311
-0.00319 0.00000 -0.00319
0.00086 0.00000 0.00086
-0.00311 0.00000 -0.00311
0.00086 0.00000 0.00086
-0.00319 0.00000 -0.00319
0.00080 0.00053 0.00028
-0.00273 -0.00283 0.00010
-0.00273 -0.00283 0.00010
0.01893 0.01976 -0.00083
0.00136 0.00132 0.00004
0.00136 0.00132 0.00004
-0.00002 0.00000 -0.00002
0.00077 0.00000 0.00077
0.00075 0.00000 0.00075
-0.00002 0.00000 -0.00002
0.00075 0.00000 0.00075
0.00077 0.00000 0.00077
-0.00063 -0.00089 0.00026
-0.00171 -0.00331 0.00159
-0.00453 -0.00331 -0.00123
0.00198 0.00168 0.00030
0.01460 0.01502 -0.00041
-0.00103 -0.00113 0.00010
0.01205 0.01728 -0.00523
0.01283 0.01830 -0.00547
0.00174 0.00141 0.00033
0.00349 0.00375 -0.00026
0.00472 0.00472 0.00000
-0.00028 -0.00048 0.00020
-0.00063 -0.00089 0.00026
-0.00453 -0.00331 -0.00123
-0.00171 -0.00331 0.00159
0.00198 0.00168 0.00030
-0.00103 -0.00113 0.00010
0.01460 0.01502 -0.00041
0.00349 0.00375 -0.00026
-0.00028 -0.00048 0.00020
0.00472 0.00472 0.00000
0.01205 0.01728 -0.00523
0.00174 0.00141 0.00033
0.01283 0.01830 -0.00547
0.00547 0.00638 -0.00090
0.00161 0.00184 -0.00023
0.00161 0.00184 -0.00023
-0.00017 0.00000 -0.00017
-0.00120 0.00000 -0.00120
-0.00120 0.00000 -0.00120
0.00445 0.00375 0.00070
-0.00040 -0.00048 0.00008
0.00480 0.00472 0.00009
0.00445 0.00375 0.00070
0.00480 0.00472 0.00009
-0.00040 -0.00048 0.00008
end
Phonon frequencies:
4480348363336.40625
4480348363336.40625
4653834915270.79199
4653834915270.79395
3443894313621.67676
3443894313621.67871
4488124863015.68555
1227069773956.55957
1227069773956.56885
4526518536579.09180
3505829452599.33252
2271694540156.75830
4736193586345.72559
4714886009231.19043
4842685405751.76074
5045696400728.61914
4349409848008.58936
3816946034552.25439
3898899598560.78467
3628882311890.05518
5296928113352.25195
5390894244276.49414
2355737449392.21045
2375530281966.43311
4522728180095.79590
5020174452095.41992
4972606231669.40039
5253292698827.22461
5280664586692.15723
4344442995275.02930
4268090047704.49609
5722362204794.76172
5960206569897.50000
3397173749658.60547
3277644057602.56934
6276078140692.85938
5163431139109.60840
5129365034414.50586
5424430878793.83594
5530023911095.41797
4573184512470.47266
4775163836658.17383
4453985603303.47070
6085717862666.21777
6225593200168.47168
3774034127696.11475
3603447015500.20996
6642661557479.89746
5020174452095.41602
4972606231669.39941
5253292698827.22461
5280664586692.15527
4344442995275.03027
4268090047704.49365
4522728180095.79688
5722362204794.76465
5960206569897.50098
3397173749658.60547
3277644057602.56738
6276078140692.85840
4736193586345.72559
4714886009231.19141
4842685405751.76172
5045696400728.61914
4349409848008.59131
3898899598560.78711
3816946034552.25439
3628882311890.05664
5296928113352.25293
5390894244276.49512
2375530281966.43311
2355737449392.21143
4480348363336.40332
4480348363336.40527
4653834915270.78906
4653834915270.79199
3443894313621.67578
3443894313621.67871
4488124863015.68555
4526518536579.09180
1227069773956.55566
3505829452599.33398
2271694540156.75537
1227069773956.56860
4736193586345.72559
4714886009231.19043
4842685405751.76074
5045696400728.61719
4349409848008.58984
3898899598560.78516
3816946034552.25293
3628882311890.05615
5296928113352.25098
5390894244276.49512
2375530281966.43262
2355737449392.21045
5657415818146.00684
5657642279462.83984
5620472435859.41016
5044292310118.45801
5118407235574.43457
4975624244791.96582
4691531532926.18652
4153870410920.30664
4188294503039.33203
4097578456896.80566
2988913722080.14258
2669128483484.51172
5366264116688.44434
5277756207796.15527
5140044273609.50098
5505197071897.63770
