p+0.04_10.9562_0 dE= 0.01203
actual force   predicted force   difference
4279807994627.98633
5644568275415.54590
5644568275415.54883
5644568275415.54590
875841691910.26782
1730638937729.68457
875841691910.27551
4245114186741.08252
4245114186741.08203
4456194714017.96094
4456194714017.95898
5458828500957.61914
5458828500957.62109
4128862687201.08350
4055125480915.49756
3094791065658.37305
1695855043419.40723
1682001416759.79688
5708051587303.44922
4384585047646.75879
4649350737200.64453
5157869398802.12793
5157869398802.12598
4384585047646.76123
4649350737200.64453
4377115704703.35254
3806410720390.81445
3737000177524.60645
2564827824067.86328
2536815467904.61768
5648508642571.51465
4753930148480.65625
4753930148480.65430
4513564479108.11426
4513564479108.11523
4936490553656.31836
3231217365915.05762
3231217365915.05713
3287073754117.40967
3287073754117.40820
4936490553656.32129
5244768189008.66309
5244768189008.66504
4384585047646.75977
4384585047646.76074
4649350737200.64551
4649350737200.64746
5157869398802.12598
5157869398802.12793
4377115704703.35059
3806410720390.81201
3737000177524.60840
2536815467904.62158
2564827824067.86719
5648508642571.51367
4245114186741.08301
4245114186741.07910
4456194714017.95996
4456194714017.96094
5458828500957.61914
5458828500957.62207
4128862687201.08105
4055125480915.49561
1682001416759.79541
1695855043419.40869
3094791065658.37500
5708051587303.44824
4205504190605.33887
4205504190605.33789
4205504190605.33643
4279807994627.98340
4279807994627.98438
4279807994627.98682
5644568275415.54395
5644568275415.54492
5644568275415.54492
875841691910.27954
875841691910.28796
1730638937729.68481
4245114186741.08203
4245114186741.08008
4456194714017.96191
4456194714017.95898
5458828500957.62207
5458828500957.62012
4128862687201.08398
4055125480915.49707
3094791065658.37305
1682001416759.79565
1695855043419.41089
5708051587303.44922
4282549296310.96777
4282549296310.96826
4091544922161.11719
4091544922161.11475
5551146560941.59766
5551146560941.59766
4149107762915.72852
3882792592487.79492
4687554437457.12598
5290964020899.34375
2033192114023.43848
2160779782098.61353
4160510013489.01074
4213462285068.81738
4421042128749.47656
3938730531665.88574
3778576439361.16309
4736193442591.58887
4821768950867.98926
5090968513117.58594
5335213471531.51172
5568143932050.22461
2803859722887.85254
2680387430412.62549
3430262077873.94043
3430262077873.94092
3302938269884.77832
3302938269884.77686
4244335490641.97607
4244335490641.97656
4602561568594.27246
4602561568594.27148
5170673523875.46777
5170673523875.46582
5324606104213.93262
5324606104213.93457
4213462285068.81738
4160510013489.01172
4421042128749.47656
3938730531665.88574
4736193442591.59082
4821768950867.99121
3778576439361.16357
5090968513117.58691
5335213471531.51172
5568143932050.22559
2803859722887.85840
2680387430412.62842
4091544922161.11475
4091544922161.11719
4282549296310.96680
4282549296310.96875
5551146560941.59473
5551146560941.59766
4149107762915.73096
3882792592487.79590
4687554437457.12695
5290964020899.34277
2033192114023.43872
2160779782098.61426
4245114186741.08057
4245114186741.08252
4456194714017.95898
4456194714017.95898
5458828500957.62109
5458828500957.61816
4128862687201.08545
4055125480915.49707
3094791065658.37451
1695855043419.41138
1682001416759.79858
5708051587303.44824
4384585047646.75977
4384585047646.75635
4649350737200.64746
4649350737200.64355
5157869398802.12598
5157869398802.12793
4377115704703.35010
3806410720390.81299
3737000177524.60791
2536815467904.62012
2564827824067.86475
5648508642571.51465
4213462285068.81787
4160510013489.01172
4421042128749.47656
3938730531665.88574
3778576439361.16357
4821768950867.99023
4736193442591.58887
5090968513117.58691
5335213471531.51172
5568143932050.22559
2680387430412.62744
2803859722887.85400
3887939302210.16504
3887939302210.16846
4080955562327.80273
