p-0.04_11.0039_0 dE= 0.01105
p+0.04_11.0039_0 dE= 0.01092
actual force   predicted force   difference
-0.00031 0.00000 -0.00031
0.00018 0.00000 0.00018
0.00154 202084506648945089748137934848.00000 -202084506648945089748137934848.00000
0.00002 -116514188878401389716417019904.00000 116514188878401389716417019904.00000
-0.00142 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00304 199671604218051116264912322560.00000 -199671604218051116264912322560.00000
-0.03251 -114880690801762529552254369792.00000 114880690801762529552254369792.00000
-0.03242 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
0.02967 199461279614198707261647355904.00000 -199461279614198707261647355904.00000
0.01363 -115244486980542477892575035392.00000 115244486980542477892575035392.00000
-0.03242 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
-0.09233 199251376972479728933039767552.00000 -199251376972479728933039767552.00000
0.05331 -114880437660861834694605406208.00000 114880437660861834694605406208.00000
-0.12601 -116432673430908664605084466806784.00000 116432673430908664605084466806784.00000
0.00046 0.00000 0.00046
-0.00026 0.00000 -0.00026
0.00131 1979355448325455765053735392247808.00000 -1979355448325455765053735392247808.00000
-0.00231 0.00000 -0.00231
0.00133 0.00000 0.00133
-0.00092 0.00000 -0.00092
0.00308 199977939018533250335588220928.00000 -199977939018533250335588220928.00000
0.00400 -115299633588106037110924902400.00000 115299633588106037110924902400.00000
0.00202 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00644 199977863941123876874543431680.00000 -199977863941123876874543431680.00000
0.00372 -115299633542880115596684427264.00000 115299633542880115596684427264.00000
0.00181 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00193 199977901442134912467602505728.00000 -199977901442134912467602505728.00000
-0.00466 -115299698583593378343001522176.00000 115299698583593378343001522176.00000
0.00202 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00624 201149303994724858661403885568.00000 -201149303994724858661403885568.00000
-0.00416 -115975395198060702222895808512.00000 115975395198060702222895808512.00000
-0.00293 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00048 201149282973211094226751717376.00000 -201149282973211094226751717376.00000
0.00749 -115975431558744180131142565888.00000 115975431558744180131142565888.00000
-0.00293 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00284 0.00000 -0.00284
0.00164 0.00000 0.00164
-0.00009 0.00000 -0.00009
-0.00004 0.00000 -0.00004
0.00068 0.00000 0.00068
0.00131 1979355448325455765053735392247808.00000 -1979355448325455765053735392247808.00000
-0.00039 199641485008668437285934465024.00000 -199641485008668437285934465024.00000
-0.00446 -115105720643560932818487869440.00000 115105720643560932818487869440.00000
0.00469 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
0.00284 199977939018533250335588220928.00000 -199977939018533250335588220928.00000
0.00403 -115299633588106037110924902400.00000 115299633588106037110924902400.00000
0.00191 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.01023 201954474051236646218260021248.00000 -201954474051236646218260021248.00000
0.00433 -116439271921666717582641594368.00000 116439271921666717582641594368.00000
0.00146 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.03287 201954425391901978594037989376.00000 -201954425391901978594037989376.00000
0.04410 -116439187528266212470784262144.00000 116439187528266212470784262144.00000
0.00113 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00346 200909709681266908355562045440.00000 -200909709681266908355562045440.00000
0.00212 -115559849466478412366415396864.00000 115559849466478412366415396864.00000
0.00275 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00126 0.00000 0.00126
-0.00308 0.00000 -0.00308
0.00076 0.00000 0.00076
-0.00549 200909667680413690040489607168.00000 -200909667680413690040489607168.00000
0.01057 -115559849441177541503568838656.00000 115559849441177541503568838656.00000
-0.00588 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00061 0.00000 -0.00061
-0.00031 0.00000 -0.00031
0.00131 1979355448325455765053735392247808.00000 -1979355448325455765053735392247808.00000
0.00366 199641511342544794467484827648.00000 -199641511342544794467484827648.00000
0.00256 -115105675094141388928734724096.00000 115105675094141388928734724096.00000
0.00469 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
-0.05463 201954376634748599297747451904.00000 -201954376634748599297747451904.00000
0.00642 -116439271862983970013073899520.00000 116439271862983970013073899520.00000
0.00113 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.00136 201954474051236786955748376576.00000 -201954474051236786955748376576.00000
-0.01102 -116439271921666559252967194624.00000 116439271921666559252967194624.00000
0.00146 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
-0.00206 199977901442134806914486239232.00000 -199977901442134806914486239232.00000
-0.00448 -115299698583593395935187566592.00000 115299698583593395935187566592.00000
0.00191 -116432673430908592547490428878848.00000 116432673430908592547490428878848.00000
0.00329 0.00000 0.00329
0.00045 0.00000 0.00045
0.00076 0.00000 0.00076
-0.00357 200669612695720286396702785536.00000 -200669612695720286396702785536.00000
0.00194 -115975142609926706302562598912.00000 115975142609926706302562598912.00000
0.00275 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.01190 200669591716380832516282515456.00000 -200669591716380832516282515456.00000
-0.00053 -115975106223942287162725105664.00000 115975106223942287162725105664.00000
-0.00588 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
